texto,categoria,prioridade,setor,grupo
"Preciso de ajuda: O computador faz ruído forte de ventilação e aquece. O problema está limitado a uma estação, mas interfere no trabalho diário. Conseguem verificar?",Hardware,Média,Infraestrutura,temperatura
"Identificamos que não consigo enviar o documento digitalizado para o computador. O problema está limitado a uma estação, mas interfere no trabalho diário. Conseguem verificar?",Impressora,Média,Suporte N1,scanner
"Identificamos que o programa deixa de responder depois de alguns minutos. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Agradeço se puderem verificar.",Software,Média,Suporte N1,aplicativo_fechando
Estou com um problema: O impacto é pequeno neste momento e não existe urgência operacional. O problema é que o sistema corporativo não conclui o lançamento. Solicito análise.,Software,Baixa,Sistemas,erp
Estou com um problema: Muitos usuários estão impedidos de executar atividades críticas da empresa. O problema é que o aplicativo mostra erro ao acessar minha caixa. Agradeço se puderem verificar.,E-mail,Crítica,Suporte N1,caixa
"Identificamos que recebo mensagens pelo navegador, mas não no aplicativo. Não há atividade parada; preciso apenas que seja verificado quando possível. Conseguem verificar?",E-mail,Baixa,Suporte N1,sincronizacao
Um dispositivo usb não é reconhecido. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Solicito análise.,Hardware,Alta,Suporte N1,perifericos
Podem verificar? Não consigo digitalizar documentos no equipamento. Grande parte da operação está parada e não existe alternativa disponível. Solicito análise.,Impressora,Crítica,Suporte N1,scanner
Identificamos que a estação não consegue acessar uma pasta compartilhada. Não há atividade parada; preciso apenas que seja verificado quando possível. Podem me ajudar?,Rede,Baixa,Infraestrutura,recursos_rede
Preciso de ajuda: A aplicação encerra ao executar uma tarefa. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Preciso de orientação.,Software,Baixa,Suporte N1,aplicativo_fechando
Identificamos que a fila acumula documentos sem processá-los. É um incômodo pontual e o trabalho continua normalmente. Solicito análise.,Impressora,Baixa,Suporte N1,fila
"Estou com um problema: Consigo continuar por outro caminho e isso não bloqueia minha rotina. O problema é que mandei imprimir, mas o documento ficou parado na fila.",Impressora,Baixa,Suporte N1,fila
"Olá, o notebook não carrega mesmo conectado à energia. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Solicito análise.",Hardware,Crítica,Suporte N1,energia
Preciso de ajuda: O equipamento não permanece ligado. Um serviço essencial para a empresa ficou indisponível para muitos usuários.,Hardware,Crítica,Suporte N1,energia
"Bom dia, Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que as mensagens enviadas para mim não aparecem.",E-mail,Média,Suporte N1,recebimento
"Estou com um problema: Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que o computador parece iniciar normalmente, porém nada aparece na tela. Isso começou hoje.",Hardware,Baixa,Suporte N1,video
Estou com um problema: A ocorrência interrompeu uma operação essencial em larga escala. O problema é que o sistema pede troca de senha mas o processo falha. Solicito análise.,Acesso,Crítica,Suporte N1,senha
"O documento foi enviado, mas nada foi impresso. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Conseguem verificar?",Impressora,Baixa,Suporte N1,fila
Estou com um problema: Uma função importante para o setor ficou indisponível para várias pessoas. O problema é que a impressora da rede deixou de responder. Preciso de orientação.,Impressora,Alta,Infraestrutura,rede_impressao
Identificamos que o aplicativo foi instalado mas não inicia. É um incômodo pontual e o trabalho continua normalmente. Isso começou hoje.,Software,Baixa,Suporte N1,instalacao
"Bom dia, Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que a instalação de uma ferramenta corporativa falha. Solicito análise.",Software,Alta,Sistemas,instalacao
Identificamos que minha senha deixou de ser aceita. Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência.,Acesso,Média,Suporte N1,senha
Podem verificar? O acesso aos serviços internos está intermitente. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Agradeço se puderem verificar.,Rede,Alta,Infraestrutura,recursos_rede
"Olá, não recebo e-mails de determinados remetentes. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Isso começou hoje.",E-mail,Média,Suporte N1,recebimento
Recebi confirmação de acesso que não fui eu quem realizou. A ocorrência já compromete o trabalho de uma equipe inteira. Agradeço se puderem verificar.,Segurança,Alta,Segurança,acesso_suspeito
"O notebook liga, mas a tela permanece apagada. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Podem me ajudar?",Hardware,Baixa,Suporte N1,video
A digitalização falha antes de salvar o arquivo. A ocorrência interrompeu uma operação essencial em larga escala. Preciso de orientação.,Impressora,Crítica,Suporte N1,scanner
Uma configuração foi modificada sem autorização. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Isso começou hoje.,Segurança,Crítica,Segurança,alteracao_nao_autorizada
A estação perdeu alimentação durante o expediente. O problema afeta diversos usuários e precisa ser tratado com rapidez.,Hardware,Alta,Suporte N1,energia
O computador só liga depois de várias tentativas. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Agradeço se puderem verificar.,Hardware,Alta,Suporte N1,energia
Preciso de ajuda: O computador apresenta erros ao abrir arquivos locais. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Isso começou hoje.,Hardware,Baixa,Suporte N1,armazenamento
"Identificamos que o computador só liga depois de várias tentativas. A rotina individual está comprometida, porém o restante da equipe segue trabalhando.",Hardware,Média,Suporte N1,energia
O software apresenta erro ao concluir a configuração. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Preciso de orientação.,Software,Baixa,Suporte N1,instalacao
Identificamos que a caixa parece não receber novas mensagens. A ocorrência interrompeu uma operação essencial em larga escala.,E-mail,Crítica,Suporte N1,recebimento
"Olá, a estação não consegue acessar uma pasta compartilhada. O problema afeta diversos usuários e precisa ser tratado com rapidez. Preciso de orientação.",Rede,Alta,Infraestrutura,recursos_rede
Informações apareceram alteradas e ninguém da equipe realizou a mudança. Grande parte da operação está parada e não existe alternativa disponível. Solicito análise.,Segurança,Crítica,Segurança,alteracao_nao_autorizada
"Olá, o filtro configurado não está sendo aplicado. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Agradeço se puderem verificar.",E-mail,Crítica,Sistemas,regras
Um programa necessário não abre depois da instalação. O problema afeta diversos usuários e precisa ser tratado com rapidez. Agradeço se puderem verificar.,Software,Alta,Sistemas,instalacao
"Podem verificar? Minha senha deixou de ser aceita. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Solicito análise.",Acesso,Média,Suporte N1,senha
"Bom dia, Diversos usuários foram impactados e não há uma solução prática para o setor. O problema é que consigo entrar no sistema, mas uma função não aparece para mim. Solicito análise.",Acesso,Alta,Sistemas,permissao
"Bom dia, A ocorrência já compromete o trabalho de uma equipe inteira. O problema é que a conexão com a internet está oscilando. Podem me ajudar?",Rede,Alta,Infraestrutura,internet
Identificamos que o usuário ficou impedido de iniciar sessão. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Solicito análise.,Acesso,Crítica,Suporte N1,bloqueio
"Olá, o envio de mensagens retorna erro. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Podem me ajudar?",E-mail,Média,Suporte N1,envio
Podem verificar? O cliente de e-mail não sincroniza as mensagens. É um incômodo pontual e o trabalho continua normalmente.,E-mail,Baixa,Suporte N1,sincronizacao
"Pessoal, a máquina apresenta atividades estranhas mesmo sem uso. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Podem me ajudar?",Segurança,Média,Segurança,comportamento_suspeito
"Preciso de ajuda: As folhas saem com qualidade muito ruim. Existe uma alternativa funcionando, então a solicitação pode aguardar. Conseguem verificar?",Impressora,Baixa,Suporte N1,qualidade
"Pessoal, chegou um e-mail estranho solicitando meus dados de acesso. Muitos usuários estão impedidos de executar atividades críticas da empresa. Preciso de orientação.",Segurança,Crítica,Segurança,phishing
"Olá, informações registradas em um sistema não chegam ao outro. A ocorrência já compromete o trabalho de uma equipe inteira. Solicito análise.",Software,Alta,Sistemas,integracao
Preciso de ajuda: Chegou um e-mail estranho solicitando meus dados de acesso. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou.,Segurança,Alta,Segurança,phishing
Podem verificar? E-mails externos não estão chegando à conta. Uma função importante para o setor ficou indisponível para várias pessoas. Preciso de orientação.,E-mail,Alta,Suporte N1,recebimento
"Bom dia, Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. O problema é que as folhas saem com qualidade muito ruim. Agradeço se puderem verificar.",Impressora,Baixa,Suporte N1,qualidade
"Preciso de ajuda: O mouse falha durante o uso. Existe uma alternativa funcionando, então a solicitação pode aguardar. Podem me ajudar?",Hardware,Baixa,Suporte N1,perifericos
"Não consigo chegar aos recursos internos trabalhando de casa. Existe uma alternativa funcionando, então a solicitação pode aguardar. Solicito análise.",Rede,Baixa,Infraestrutura,vpn
Preciso de ajuda: Uma mensagem permanece na caixa de saída. Diversos usuários foram impactados e não há uma solução prática para o setor. Agradeço se puderem verificar.,E-mail,Alta,Suporte N1,envio
Tenho uma ocorrência em que A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que o serviço de e-mail falha quando tento enviar. Isso começou hoje.,E-mail,Crítica,Suporte N1,envio
Tenho uma ocorrência em que É um incômodo pontual e o trabalho continua normalmente. O problema é que o computador não alcança um servidor interno. Conseguem verificar?,Rede,Baixa,Infraestrutura,recursos_rede
Podem verificar? Uma regra automática deixou de organizar as mensagens. Grande parte da operação está parada e não existe alternativa disponível. Agradeço se puderem verificar.,E-mail,Crítica,Sistemas,regras
Tenho uma ocorrência em que O usuário perdeu produtividade e precisa de suporte para continuar a atividade. O problema é que o usuário aparece como bloqueado no sistema. Isso começou hoje.,Acesso,Média,Suporte N1,bloqueio
"Pessoal, o equipamento não aceita novos trabalhos de impressão. Diversos usuários foram impactados e não há uma solução prática para o setor. Preciso de orientação.",Impressora,Alta,Suporte N1,offline
Tenho uma ocorrência em que A ocorrência já compromete o trabalho de uma equipe inteira. O problema é que as pastas da conta não ficam disponíveis. Solicito análise.,E-mail,Alta,Segurança,caixa
Tenho uma ocorrência em que Muitos usuários estão impedidos de executar atividades críticas da empresa. O problema é que o equipamento desliga sozinho pouco depois de iniciar. Agradeço se puderem verificar.,Hardware,Crítica,Suporte N1,energia
Identificamos que a aplicação para de responder ao salvar informações. É um incômodo pontual e o trabalho continua normalmente. Solicito análise.,Software,Baixa,Suporte N1,aplicativo_fechando
"Pessoal, a conta não permite novas tentativas de autenticação. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Preciso de orientação.",Acesso,Alta,Suporte N1,bloqueio
Identificamos que preciso redefinir a senha da conta. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Agradeço se puderem verificar.,Acesso,Média,Suporte N1,senha
Podem verificar? A caixa corporativa apresenta falha ao carregar. O problema afeta diversos usuários e precisa ser tratado com rapidez.,E-mail,Alta,Suporte N1,caixa
Podem verificar? O computador faz ruído forte de ventilação e aquece. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Solicito análise.,Hardware,Crítica,Infraestrutura,temperatura
Estou com um problema: A ocorrência interrompeu uma operação essencial em larga escala. O problema é que o equipamento apresenta aquecimento fora do normal. Preciso de orientação.,Hardware,Crítica,Infraestrutura,temperatura
"Pessoal, o computador apresenta erros ao abrir arquivos locais. Não há atividade parada; preciso apenas que seja verificado quando possível. Podem me ajudar?",Hardware,Baixa,Suporte N1,armazenamento
Identificamos que há sessões na minha conta que eu não iniciei. O problema afeta diversos usuários e precisa ser tratado com rapidez. Conseguem verificar?,Segurança,Alta,Segurança,acesso_suspeito
Preciso de ajuda: Uma atualização deixou a aplicação instável. Uma função importante para o setor ficou indisponível para várias pessoas. Isso começou hoje.,Software,Alta,Sistemas,atualizacao
O equipamento compartilhado não recebe trabalhos pela rede. Grande parte da operação está parada e não existe alternativa disponível. Agradeço se puderem verificar.,Impressora,Crítica,Infraestrutura,rede_impressao
"Olá, a organização automática das mensagens falhou. Muitos usuários estão impedidos de executar atividades críticas da empresa.",E-mail,Crítica,Sistemas,regras
"Olá, um dispositivo USB não é reconhecido. A indisponibilidade tem impacto amplo e exige restauração imediata do serviço.",Hardware,Crítica,Suporte N1,perifericos
"Preciso de ajuda: Uma mensagem suspeita tenta me levar a uma página de login. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Solicito análise.",Segurança,Média,Segurança,phishing
"Bom dia, Diversos usuários foram impactados e não há uma solução prática para o setor. O problema é que o equipamento de impressão aparece indisponível.",Impressora,Alta,Suporte N1,offline
"Pessoal, a aplicação encerra ao executar uma tarefa. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Agradeço se puderem verificar.",Software,Média,Suporte N1,aplicativo_fechando
"Estou com um problema: Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que houve uma mudança inesperada em dados corporativos. Isso começou hoje.",Segurança,Baixa,Sistemas,alteracao_nao_autorizada
"Olá, não consigo digitalizar documentos no equipamento. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Preciso de orientação.",Impressora,Média,Suporte N1,scanner
Preciso de ajuda: O conteúdo impresso apresenta defeitos visíveis. O impacto é pequeno neste momento e não existe urgência operacional. Podem me ajudar?,Impressora,Baixa,Suporte N1,qualidade
"Bom dia, Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. O problema é que a máquina inicia sem mostrar imagem. Agradeço se puderem verificar.",Hardware,Baixa,Suporte N1,video
Tenho uma ocorrência em que O impacto é pequeno neste momento e não existe urgência operacional. O problema é que o aplicativo foi instalado mas não inicia. Podem me ajudar?,Software,Baixa,Suporte N1,instalacao
Estou com um problema: Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que a máquina acessa a internet mas não os recursos internos. Solicito análise.,Rede,Alta,Infraestrutura,recursos_rede
A aplicação encerra ao executar uma tarefa. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade.,Software,Crítica,Suporte N1,aplicativo_fechando
"Olá, preciso consultar uma tela e recebo aviso de permissão. O problema está limitado a uma estação, mas interfere no trabalho diário. Agradeço se puderem verificar.",Acesso,Média,Sistemas,permissao
Dois sistemas deixaram de trocar informações. Diversos usuários foram impactados e não há uma solução prática para o setor. Preciso de orientação.,Software,Alta,Sistemas,integracao
"Podem verificar? Tenho acesso ao sistema, mas não ao recurso que preciso. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Solicito análise.",Acesso,Alta,Sistemas,permissao
Preciso de ajuda: A verificação em duas etapas não conclui. Uma função importante para o setor ficou indisponível para várias pessoas. Conseguem verificar?,Acesso,Alta,Suporte N1,mfa
"Tenho uma ocorrência em que O problema está limitado a uma estação, mas interfere no trabalho diário. O problema é que o dispositivo de impressão perdeu comunicação com as estações. Podem me ajudar?",Impressora,Média,Infraestrutura,rede_impressao
Identificamos que a caixa corporativa apresenta falha ao carregar. Grande parte da operação está parada e não existe alternativa disponível. Preciso de orientação.,E-mail,Crítica,Suporte N1,caixa
Preciso de ajuda: O software apresenta erro ao concluir a configuração. Diversos usuários foram impactados e não há uma solução prática para o setor. Isso começou hoje.,Software,Alta,Sistemas,instalacao
"Pessoal, recebi aviso de login que não reconheço. Diversos usuários foram impactados e não há uma solução prática para o setor. Preciso de orientação.",Segurança,Alta,Segurança,acesso_suspeito
Não recebo a confirmação necessária para entrar. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Conseguem verificar?,Acesso,Crítica,Segurança,mfa
A conexão fica indo e voltando durante o expediente. A equipe está sem conseguir concluir uma operação necessária para o trabalho.,Rede,Alta,Infraestrutura,wifi
Tenho uma ocorrência em que Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que a autenticação não conclui quando tento acessar. Isso começou hoje.,Acesso,Média,Suporte N1,login
"Pessoal, minha conta registra acesso em um horário em que eu não estava trabalhando. Uma função importante para o setor ficou indisponível para várias pessoas. Conseguem verificar?",Segurança,Alta,Segurança,acesso_suspeito
"Olá, consigo entrar no sistema, mas uma função não aparece para mim. O problema afeta diversos usuários e precisa ser tratado com rapidez. Podem me ajudar?",Acesso,Alta,Sistemas,permissao
"Identificamos que o sistema rejeita minhas credenciais mesmo estando corretas. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Preciso de orientação.",Acesso,Média,Suporte N1,login
"Identificamos que o ponto de rede da mesa não está funcionando. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Isso começou hoje.",Rede,Média,Infraestrutura,cabeada
"Olá, um compartilhamento corporativo ficou inacessível. Consigo continuar por outro caminho e isso não bloqueia minha rotina.",Rede,Baixa,Infraestrutura,recursos_rede
"Olá, o encaminhamento automático parou de funcionar. É um incômodo pontual e o trabalho continua normalmente. Preciso de orientação.",E-mail,Baixa,Sistemas,regras
Estou com um problema: Uma pessoa não consegue concluir uma tarefa habitual por causa da ocorrência. O problema é que informações apareceram alteradas e ninguém da equipe realizou a mudança. Agradeço se puderem verificar.,Segurança,Média,Segurança,alteracao_nao_autorizada
Estou com um problema: Um serviço essencial para a empresa ficou indisponível para muitos usuários. O problema é que o envio de mensagens retorna erro. Agradeço se puderem verificar.,E-mail,Crítica,Suporte N1,envio
"Bom dia, Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. O problema é que uma atualização deixou a aplicação instável. Conseguem verificar?",Software,Alta,Sistemas,atualizacao
"Pessoal, os computadores estão com dificuldade para acessar a internet. O problema está limitado a uma estação, mas interfere no trabalho diário. Solicito análise.",Rede,Média,Infraestrutura,internet
Tenho uma ocorrência em que O usuário perdeu produtividade e precisa de suporte para continuar a atividade. O problema é que o equipamento passou a apresentar comportamento incomum. Preciso de orientação.,Segurança,Média,Segurança,comportamento_suspeito
"Olá, depois da atualização algumas funções deixaram de funcionar. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Podem me ajudar?",Software,Alta,Sistemas,atualizacao
"Bom dia, Grande parte da operação está parada e não existe alternativa disponível. O problema é que as mensagens novas não aparecem no aplicativo de e-mail. Preciso de orientação.",E-mail,Crítica,Suporte N1,sincronizacao
Preciso de ajuda: Preciso redefinir a senha da conta. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade.,Acesso,Crítica,Suporte N1,senha
"Bom dia, Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que o sistema rejeita minhas credenciais mesmo estando corretas. Podem me ajudar?",Acesso,Crítica,Suporte N1,login
"Bom dia, Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. O problema é que uma mensagem permanece na caixa de saída. Preciso de orientação.",E-mail,Média,Suporte N1,envio
Identificamos que a caixa de entrada parou de atualizar. O usuário perdeu produtividade e precisa de suporte para continuar a atividade. Solicito análise.,E-mail,Média,Suporte N1,sincronizacao
"Bom dia, Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que o dispositivo de impressão ficou inacessível. Preciso de orientação.",Impressora,Baixa,Suporte N1,offline
Identificamos que os arquivos enviados para impressão não avançam. Um serviço essencial para a empresa ficou indisponível para muitos usuários.,Impressora,Crítica,Suporte N1,fila
Tenho uma ocorrência em que Uma função importante para o setor ficou indisponível para várias pessoas. O problema é que o equipamento multifuncional não conclui o escaneamento. Agradeço se puderem verificar.,Impressora,Alta,Suporte N1,scanner
"Estou com um problema: Existe uma alternativa funcionando, então a solicitação pode aguardar. O problema é que não conseguimos localizar a impressora compartilhada.",Impressora,Baixa,Suporte N1,rede_impressao
"Bom dia, Diversos usuários foram impactados e não há uma solução prática para o setor. O problema é que recebi uma mensagem pedindo para confirmar minha senha em um link. Isso começou hoje.",Segurança,Alta,Segurança,phishing
"Pessoal, preciso consultar uma tela e recebo aviso de permissão. A equipe está sem conseguir concluir uma operação necessária para o trabalho. Podem me ajudar?",Acesso,Alta,Sistemas,permissao
"Bom dia, A ocorrência interrompeu uma operação essencial em larga escala. O problema é que a estação perdeu alimentação durante o expediente. Agradeço se puderem verificar.",Hardware,Crítica,Suporte N1,energia
Podem verificar? A credencial atual não está sendo reconhecida. Um serviço essencial para a empresa ficou indisponível para muitos usuários. Isso começou hoje.,Acesso,Crítica,Suporte N1,senha
Estou com um problema: O problema afeta diversos usuários e precisa ser tratado com rapidez. O problema é que a caixa parece não receber novas mensagens. Podem me ajudar?,E-mail,Alta,Suporte N1,recebimento
Tenho uma ocorrência em que A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que os computadores estão com dificuldade para acessar a internet. Conseguem verificar?,Rede,Crítica,Infraestrutura,internet
"Bom dia, O impacto é pequeno neste momento e não existe urgência operacional. O problema é que a estação informa que o equipamento não está conectado. Conseguem verificar?",Impressora,Baixa,Suporte N1,offline
Preciso de ajuda: O equipamento desliga sozinho pouco depois de iniciar. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Isso começou hoje.,Hardware,Baixa,Suporte N1,energia
"Bom dia, Uma função importante para o setor ficou indisponível para várias pessoas. O problema é que a webcam não é detectada pelo computador. Podem me ajudar?",Hardware,Alta,Suporte N1,perifericos
Estou com um problema: A equipe está sem conseguir concluir uma operação necessária para o trabalho. O problema é que não consigo confirmar o segundo fator de acesso.,Acesso,Alta,Suporte N1,mfa
"Pessoal, o equipamento compartilhado não recebe trabalhos pela rede. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Isso começou hoje.",Impressora,Baixa,Suporte N1,rede_impressao
Preciso de ajuda: Minha conta ficou bloqueada depois de algumas tentativas. Grande parte da operação está parada e não existe alternativa disponível. Solicito análise.,Acesso,Crítica,Suporte N1,bloqueio
"Estou com um problema: Não há atividade parada; preciso apenas que seja verificado quando possível. O problema é que o sinal está disponível, mas a máquina não consegue navegar. Podem me ajudar?",Rede,Baixa,Infraestrutura,wifi
"Apareceu um programa no computador que eu nunca instalei. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Conseguem verificar?",Segurança,Média,Segurança,malware
"Identificamos que a nova versão do programa não abre corretamente. A rotina individual está comprometida, porém o restante da equipe segue trabalhando.",Software,Média,Sistemas,atualizacao
"Podem verificar? Dois sistemas deixaram de trocar informações. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Podem me ajudar?",Software,Média,Sistemas,integracao
Identificamos que o envio de mensagens retorna erro. É um incômodo pontual e o trabalho continua normalmente. Agradeço se puderem verificar.,E-mail,Baixa,Suporte N1,envio
Podem verificar? Uma funcionalidade está indisponível apenas para meu usuário. Grande parte da operação está parada e não existe alternativa disponível. Agradeço se puderem verificar.,Acesso,Crítica,Sistemas,permissao
"Olá, o usuário aparece como bloqueado no sistema. Uma função importante para o setor ficou indisponível para várias pessoas. Solicito análise.",Acesso,Alta,Suporte N1,bloqueio
"Bom dia, A indisponibilidade tem impacto amplo e exige restauração imediata do serviço. O problema é que recebi confirmação de acesso que não fui eu quem realizou. Isso começou hoje.",Segurança,Crítica,Segurança,acesso_suspeito
"Pessoal, o programa corporativo não funciona após ser configurado. O problema está limitado a uma estação, mas interfere no trabalho diário. Agradeço se puderem verificar.",Software,Média,Suporte N1,instalacao
A impressão fica pendente indefinidamente. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Podem me ajudar?,Impressora,Baixa,Suporte N1,fila
Estou com um problema: A ocorrência já compromete o trabalho de uma equipe inteira. O problema é que o encaminhamento automático parou de funcionar. Podem me ajudar?,E-mail,Alta,Sistemas,regras
Preciso de ajuda: O acesso à internet parou em parte do ambiente. Diversos usuários foram impactados e não há uma solução prática para o setor. Preciso de orientação.,Rede,Alta,Infraestrutura,internet
"Olá, o equipamento demora muito para acessar dados do disco. Diversos usuários foram impactados e não há uma solução prática para o setor. Conseguem verificar?",Hardware,Alta,Infraestrutura,armazenamento
"Olá, o computador parece iniciar normalmente, porém nada aparece na tela. Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. Agradeço se puderem verificar.",Hardware,Crítica,Suporte N1,video
Preciso de ajuda: O acesso aos serviços internos está intermitente. É um incômodo pontual e o trabalho continua normalmente. Solicito análise.,Rede,Baixa,Infraestrutura,recursos_rede
Tenho uma ocorrência em que Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que o equipamento não permanece ligado. Conseguem verificar?,Hardware,Média,Suporte N1,energia
"Bom dia, Muitos usuários estão impedidos de executar atividades críticas da empresa. O problema é que houve uma mudança inesperada em dados corporativos. Conseguem verificar?",Segurança,Crítica,Segurança,alteracao_nao_autorizada
"Olá, meu perfil não possui acesso a uma área necessária. A rotina individual está comprometida, porém o restante da equipe segue trabalhando.",Acesso,Média,Sistemas,permissao
"Pessoal, a caixa corporativa apresenta falha ao carregar. Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. Podem me ajudar?",E-mail,Média,Suporte N1,caixa
"Tenho uma ocorrência em que Diversas equipes não conseguem trabalhar por causa dessa indisponibilidade. O problema é que o serviço abre, mas não mostra o conteúdo das mensagens. Isso começou hoje.",E-mail,Crítica,Suporte N1,caixa
Preciso de ajuda: A máquina apresenta atividades estranhas mesmo sem uso. Só uma tarefa secundária foi afetada e tenho outra forma de realizá-la. Isso começou hoje.,Segurança,Baixa,Segurança,comportamento_suspeito
Identificamos que a conexão fica indo e voltando durante o expediente. Isso está atrapalhando o trabalho de uma pessoa durante a rotina. Podem me ajudar?,Rede,Média,Infraestrutura,wifi
"Estou com um problema: Uma atividade normal ficou prejudicada, embora ainda seja possível fazer outras tarefas. O problema é que o aplicativo começou a falhar depois de uma atualização. Conseguem verificar?",Software,Média,Sistemas,atualizacao
Identificamos que a imagem desaparece enquanto o equipamento continua ligado. Diversos usuários foram impactados e não há uma solução prática para o setor. Isso começou hoje.,Hardware,Alta,Suporte N1,video
Estou com um problema: Grande parte da operação está parada e não existe alternativa disponível. O problema é que a caixa de e-mail não abre corretamente.,E-mail,Crítica,Suporte N1,caixa
Podem verificar? O computador passou a abrir programas que não reconheço. Várias pessoas do setor estão com o mesmo problema e uma atividade importante parou. Conseguem verificar?,Segurança,Alta,Segurança,malware
"Preciso de ajuda: A etapa adicional de autenticação está falhando. Existe uma alternativa funcionando, então a solicitação pode aguardar. Agradeço se puderem verificar.",Acesso,Baixa,Suporte N1,mfa
Identificamos que o equipamento demora muito para acessar dados do disco. Consigo continuar por outro caminho e isso não bloqueia minha rotina.,Hardware,Baixa,Suporte N1,armazenamento
Identificamos que o código de autenticação não chega ao meu dispositivo. Consigo continuar por outro caminho e isso não bloqueia minha rotina. Conseguem verificar?,Acesso,Baixa,Suporte N1,mfa
"Podem verificar? O notebook não consegue se conectar à rede sem fio. A rotina individual está comprometida, porém o restante da equipe segue trabalhando. Agradeço se puderem verificar.",Rede,Média,Infraestrutura,wifi
"Pessoal, não recebo a confirmação necessária para entrar. É um incômodo pontual e o trabalho continua normalmente. Podem me ajudar?",Acesso,Baixa,Suporte N1,mfa
Preciso de ajuda: Há atraso no recebimento de mensagens corporativas. É um incômodo pontual e o trabalho continua normalmente.,E-mail,Baixa,Suporte N1,recebimento
Tenho uma ocorrência em que Não há atividade parada; preciso apenas que seja verificado quando possível. O problema é que uma mensagem permanece na caixa de saída. Podem me ajudar?,E-mail,Baixa,Suporte N1,envio
"Tenho uma ocorrência em que A rotina individual está comprometida, porém o restante da equipe segue trabalhando. O problema é que o acesso remoto cai poucos minutos depois de conectar. Solicito análise.",Rede,Média,Infraestrutura,vpn
Preciso de ajuda: Minha conta não permite iniciar a sessão. Grande parte da operação está parada e não existe alternativa disponível. Conseguem verificar?,Acesso,Crítica,Suporte N1,login
"Olá, a navegação ficou lenta e apresenta interrupções. Existe uma alternativa funcionando, então a solicitação pode aguardar. Preciso de orientação.",Rede,Baixa,Infraestrutura,internet
"Bom dia, Isso está atrapalhando o trabalho de uma pessoa durante a rotina. O problema é que o computador faz ruído forte de ventilação e aquece. Agradeço se puderem verificar.",Hardware,Média,Infraestrutura,temperatura
